source,profile,role,row,method,reduction_percent,image
chirp_9db,short_gaps,best,18570,local_pca_32,82.92399974665024,chirp_9db/short_gaps/best_row18570/comparison.png
chirp_9db,short_gaps,median,19599,local_pca_32,53.771130261966846,chirp_9db/short_gaps/median_row19599/comparison.png
chirp_9db,short_gaps,worst,16822,local_pca_32,-30.691896605500602,chirp_9db/short_gaps/worst_row16822/comparison.png
chirp_9db,long_gaps,best,18262,autoregression,1.4966108728325822,chirp_9db/long_gaps/best_row18262/comparison.png
chirp_9db,long_gaps,median,18467,autoregression,0.06769265626004328,chirp_9db/long_gaps/median_row18467/comparison.png
chirp_9db,long_gaps,worst,16102,autoregression,-0.4505729759094024,chirp_9db/long_gaps/worst_row16102/comparison.png
chirp_9db,mixed_damage,best,18673,local_pca_32,58.832536011317906,chirp_9db/mixed_damage/best_row18673/comparison.png
chirp_9db,mixed_damage,median,16719,local_pca_32,11.395458549908577,chirp_9db/mixed_damage/median_row16719/comparison.png
chirp_9db,mixed_damage,worst,17645,local_pca_32,-28.800565277001144,chirp_9db/mixed_damage/worst_row17645/comparison.png
chirp_9db,severe_4x,best,16411,local_pca_8,62.568984500289424,chirp_9db/severe_4x/best_row16411/comparison.png
chirp_9db,severe_4x,median,16205,local_pca_8,14.980137093483847,chirp_9db/severe_4x/median_row16205/comparison.png
chirp_9db,severe_4x,worst,18776,local_pca_8,-32.416515419073356,chirp_9db/severe_4x/worst_row18776/comparison.png
chirp_9db,raster_image,best,16925,local_pca_32,81.97300457853142,chirp_9db/raster_image/best_row16925/comparison.png
chirp_9db,raster_image,median,19496,local_pca_32,52.06122871383053,chirp_9db/raster_image/median_row19496/comparison.png
chirp_9db,raster_image,worst,16822,local_pca_32,-30.670079218618305,chirp_9db/raster_image/worst_row16822/comparison.png
am_9db,short_gaps,best,18673,local_pca_32,59.5319406494407,am_9db/short_gaps/best_row18673/comparison.png
am_9db,short_gaps,median,16616,local_pca_32,28.3420428901763,am_9db/short_gaps/median_row16616/comparison.png
am_9db,short_gaps,worst,18365,local_pca_32,-45.05579150765997,am_9db/short_gaps/worst_row18365/comparison.png
am_9db,long_gaps,best,19599,zero_fill,0.0,am_9db/long_gaps/best_row19599/comparison.png
am_9db,long_gaps,median,17850,zero_fill,0.0,am_9db/long_gaps/median_row17850/comparison.png
am_9db,long_gaps,worst,16000,zero_fill,0.0,am_9db/long_gaps/worst_row16000/comparison.png
am_9db,mixed_damage,best,18262,autoregression,5.262149867636234,am_9db/mixed_damage/best_row18262/comparison.png
am_9db,mixed_damage,median,17953,autoregression,0.058364051254122806,am_9db/mixed_damage/median_row17953/comparison.png
am_9db,mixed_damage,worst,17645,autoregression,-0.9764874399202483,am_9db/mixed_damage/worst_row17645/comparison.png
am_9db,severe_4x,best,19599,zero_fill,0.0,am_9db/severe_4x/best_row19599/comparison.png
am_9db,severe_4x,median,17850,zero_fill,0.0,am_9db/severe_4x/median_row17850/comparison.png
am_9db,severe_4x,worst,16000,zero_fill,0.0,am_9db/severe_4x/worst_row16000/comparison.png
am_9db,raster_image,best,17336,local_pca_32,65.42757248103463,am_9db/raster_image/best_row17336/comparison.png
am_9db,raster_image,median,19290,local_pca_32,26.323114846151054,am_9db/raster_image/median_row19290/comparison.png
am_9db,raster_image,worst,18365,local_pca_32,-45.5557506096548,am_9db/raster_image/worst_row18365/comparison.png
v3,short_gaps,best,18262,dictionary_24,61.21048463769745,v3/short_gaps/best_row18262/comparison.png
v3,short_gaps,median,16308,dictionary_24,25.570150330097206,v3/short_gaps/median_row16308/comparison.png
v3,short_gaps,worst,18159,dictionary_24,-49.61273865015707,v3/short_gaps/worst_row18159/comparison.png
v3,long_gaps,best,17336,pca_r64_l1,18.421890114542606,v3/long_gaps/best_row17336/comparison.png
v3,long_gaps,median,16822,pca_r64_l1,0.5764751257481548,v3/long_gaps/median_row16822/comparison.png
v3,long_gaps,worst,16719,pca_r64_l1,-20.07406933031819,v3/long_gaps/worst_row16719/comparison.png
v3,mixed_damage,best,16616,pca_r64_l1,54.243839459755684,v3/mixed_damage/best_row16616/comparison.png
v3,mixed_damage,median,18159,pca_r64_l1,23.147882607140048,v3/mixed_damage/median_row18159/comparison.png
v3,mixed_damage,worst,17645,pca_r64_l1,-10.697148549594338,v3/mixed_damage/worst_row17645/comparison.png
v3,severe_4x,best,17336,pca_r64_l1,40.291796131941496,v3/severe_4x/best_row17336/comparison.png
v3,severe_4x,median,17953,pca_r64_l1,17.277056827769833,v3/severe_4x/median_row17953/comparison.png
v3,severe_4x,worst,17645,pca_r64_l1,-10.15335480893751,v3/severe_4x/worst_row17645/comparison.png
v3,raster_image,best,16616,dictionary_48,61.22623549971833,v3/raster_image/best_row16616/comparison.png
v3,raster_image,median,19290,dictionary_48,28.9310930710327,v3/raster_image/median_row19290/comparison.png
v3,raster_image,worst,18776,dictionary_48,-38.74051429737606,v3/raster_image/worst_row18776/comparison.png
