source_file,row,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,degraded_input,17.630353276107414,0.6473371215244301,23.666479567307693,24.843792105001786
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,nlm_only_conservative,17.649869471181372,0.6516071453009644,23.60498958333333,24.675499692654018
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,bilateral_only_conservative,17.6511442639427,0.6466907820686983,23.677372596153845,24.536729338436277
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,gaussian_clahe,16.339128547791606,0.7334374137659443,31.788893830128206,35.49680939984754
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,median_clahe,16.342499796204155,0.7287819533315455,31.633886618589745,35.35978507599374
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,bilateral_clahe,16.736157034745563,0.7390274573617648,29.874017227564103,34.873568670332034
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,nlm_clahe,17.64994224436596,0.7458490727361012,24.97268028846154,33.38221763379884
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,nlm_clahe_unsharp,17.649745081109952,0.7471881163894138,24.940708733974358,33.56047555502006
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,mask_assisted_telea_inpaint,17.741940710841885,0.7152263278270071,25.823717147435897,27.684002799699506
ORB3H_p1350_tr60_AM_9dB_v1.h5,500,blind_trace_interpolation,17.834595323904953,0.6844303560429738,23.188369391025642,27.477686556926457
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,degraded_input,18.150337410205207,0.6501276416504148,22.825541266025642,22.960670555536435
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,nlm_only_conservative,18.179924007729525,0.6548850522554527,22.746703125,22.720311611348894
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,bilateral_only_conservative,18.177577887436865,0.6498982664461239,22.830376201923077,22.638701729229062
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,gaussian_clahe,16.70159550755737,0.7089946050880923,31.035842147435897,30.481503170064197
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,median_clahe,16.709779989702703,0.7081696861090018,30.972143830128203,30.477430939161714
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,bilateral_clahe,17.157121685621817,0.717997789248184,29.017643028846155,29.86883195780179
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,nlm_clahe,18.164334133660272,0.7298557614636706,23.993622596153845,28.68226406191679
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,nlm_clahe_unsharp,18.17220465802021,0.7316840602505914,23.957808092948717,28.833526973089995
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,mask_assisted_telea_inpaint,18.52593506993362,0.7248559885419532,24.403508814102565,23.241808406449927
ORB3H_p1350_tr60_AM_9dB_v1.h5,5000,blind_trace_interpolation,18.347821391122704,0.6908279579273795,22.384862580128207,25.77949096137652
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,degraded_input,17.978969709483383,0.6515578937954227,23.085617788461537,23.66560289688739
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,nlm_only_conservative,17.999973415176843,0.6560384416106834,23.02428405448718,23.4657598230612
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,bilateral_only_conservative,18.004347734093827,0.6511914059444888,23.087055689102563,23.347804747450112
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,gaussian_clahe,16.611554021737497,0.7146181763035462,31.078571314102565,31.851532508742885
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,median_clahe,16.59858664179306,0.712085581078922,31.03278565705128,31.93334595389274
