test_example,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
0,bicubic_only,24.56873261616839,0.971297575591925,7.6026953125,61.4706968803104
0,gaussian_clahe,19.344692409754614,0.9113967226494871,21.596393229166665,57.77551544113443
0,median_clahe,19.335355430194923,0.9109895732900923,21.599309895833333,57.782954025789934
0,bilateral_clahe,19.45213494052975,0.9131935327480261,21.274466145833333,57.645267809461025
0,nlm_clahe,20.044031945233662,0.9227958733824358,19.469505208333334,58.848696051512455
0,nlm_clahe_unsharp,20.011801730421347,0.9224484256289681,19.5208203125,59.10101730729201
7,bicubic_only,24.97271496237876,0.9415510862362039,6.365208333333333,40.29892525433602
7,gaussian_clahe,18.90809990544158,0.8368083968076384,22.755,43.78232423492254
7,median_clahe,18.98894370237768,0.8393221643377344,22.545859375,43.7914496249409
7,bilateral_clahe,18.984993783674508,0.8383096884160576,22.503515625,43.61217794715009
7,nlm_clahe,20.086079068142197,0.8649107621273759,19.120520833333334,43.596951806591626
7,nlm_clahe_unsharp,20.06507162297688,0.864708137003587,19.130416666666665,43.85075463018153
14,bicubic_only,27.061578247066862,0.9627646477965519,6.603463541666667,40.0265331342644
14,gaussian_clahe,18.255676424951478,0.8418790109498192,24.3190625,48.679381800966254
14,median_clahe,18.331674352693412,0.8439410281376785,24.0987890625,48.62130568215323
14,bilateral_clahe,18.493875519805712,0.84732828709498,23.6575390625,48.08275214536934
14,nlm_clahe,19.27507083222315,0.8617240793506354,20.7974609375,48.00839611072803
14,nlm_clahe_unsharp,19.24134309587227,0.8609128389276848,20.820703125,48.24359284676883
23,bicubic_only,23.874457482059462,0.9657387342362447,9.884322916666667,60.93120098817454
23,gaussian_clahe,18.246004052644103,0.8980060983643303,23.362239583333334,65.60591412719587
23,median_clahe,18.281486163257846,0.8987050484316482,23.15828125,65.76205773861243
23,bilateral_clahe,18.24309519754786,0.8985641882758387,23.31854166666667,65.60007499284127
23,nlm_clahe,18.522558548210043,0.9039543362967015,22.105390625,66.44916650587267
23,nlm_clahe_unsharp,18.476178602903662,0.9032499104859549,22.180247395833334,66.76873634780274
31,bicubic_only,23.506179216625576,0.9686910528762024,9.224205729166666,66.53346790664379
31,gaussian_clahe,19.190900661813714,0.9205138897255509,20.331354166666667,64.89431711456403
31,median_clahe,19.244406444953693,0.9216356795803674,20.218333333333334,65.00441476205494
31,bilateral_clahe,19.290802752672555,0.9220533557933439,20.077643229166668,64.76204907779949
31,nlm_clahe,19.925929836943578,0.9336078786594183,17.93747395833333,66.95856649209087
31,nlm_clahe_unsharp,19.888603881314232,0.9332374861832331,17.9770703125,67.23518948225295
40,bicubic_only,23.723832039558047,0.9686324685753098,8.806184895833333,64.89049470249249
40,gaussian_clahe,18.29096900606576,0.8911291986553058,23.705677083333335,61.84142872622722
40,median_clahe,18.35792095579752,0.8934710007667468,23.5287109375,62.09128078418639
40,bilateral_clahe,18.420667334482722,0.8940820947531162,23.423541666666665,61.49918106140341
40,nlm_clahe,18.963771620843307,0.9061278480281304,21.438932291666667,62.502723427621
40,nlm_clahe_unsharp,18.91774927021657,0.90550744557321,21.508020833333333,62.81240124869155
